PS_PARTKEY,VALUE
129760,17538456.860
166726,16503353.920
191287,16474801.970
161758,16101755.540
34452,15983844.720
139035,15907078.340
9403,15451755.620
154358,15212937.880
38823,15064802.860
85606,15053957.150
33354,14408297.400
154747,14407580.680
82865,14235489.780
76094,14094247.040
222,13937777.740
121271,13908336.000
55221,13716120.470
22819,13666434.280
76281,13646853.680
85298,13581154.930
85158,13554904.000
139684,13535538.720
31034,13498025.250
87305,13482847.040
10181,13445148.750
62323,13411824.300
26489,13377256.380
96493,13339057.830
56548,13329014.970
55576,13306843.350
159751,13306614.480
92406,13287414.500
182636,13223726.740
199969,13135288.210
62865,13001926.940
7284,12945298.190
197867,12944510.520
11562,12931575.510
75165,12916918.120
97175,12911283.500
140840,12896562.230
65241,12890600.460
166120,12876927.220
9035,12863828.700
144616,12853549.300
176723,12832309.740
170884,12792136.580
29790,12723300.330
95213,12555483.730
183873,12550533.050
171235,12476538.300
21533,12437821.320
17290,12432159.500
156397,12260623.500
122611,12222812.980
139155,12220319.250
146316,12215800.610
171381,12199734.520
198633,12078226.950
167417,12046637.620
59512,12043468.760
31688,12034893.640
159586,12001505.840
8993,11963814.300
120302,11857707.550
43536,11779340.520
9552,11776909.160
86223,11772205.080
53776,11758669.650
131285,11616953.740
91628,11611114.830
169644,11567959.720
182299,11567462.050
33107,11453818.760
104184,11436657.440
67027,11419127.140
176869,11371451.710
30885,11369674.790
54420,11345076.880
72240,11313951.050
178708,11294635.170
81298,11273686.130
158324,11243442.720
117095,11242535.240
176793,11237733.380
86091,11177793.790
116033,11145434.360
129058,11119112.200
193714,11104706.390
117195,11077217.960
49851,11043701.780
19791,11030662.620
75800,11012401.620
161562,10996371.690
10119,10980015.750
39185,10970042.560
47223,10950022.130
175594,10942923.050
111295,10893675.610
155446,10852764.570
156391,10839810.380
40884,10837234.190
141288,10837130.210
152388,10830977.820
33449,10830858.720
149035,10826130.020
162620,10814275.680
118324,10791788.100
38932,10777541.750
121294,10764225.220
48721,10762582.490
63342,10740132.600
5614,10724668.800
62266,10711143.100
100202,10696675.550
197741,10688560.720
169178,10648522.800
5271,10639392.650
34499,10584177.100
71108,10569117.560
137132,10539880.470
78451,10524873.240
150827,10503810.480
107237,10488030.840
101727,10473558.100
58708,10466280.440
89768,10465477.220
146493,10444291.580
55424,10444006.480
16560,10425574.740
133114,10415097.900
195810,10413625.200
76673,10391977.180
97305,10390890.570
134210,10387210.020
188536,10386529.920
122255,10335760.320
2682,10312966.100
43814,10303086.610
34767,10290405.180
165584,10273705.890
2231,10270415.550
111259,10263256.560
195578,10239795.820
21093,10217531.300
29856,10216932.540
133686,10213345.760
87745,10185509.400
135153,10179379.700
11773,10167410.840
76316,10165151.700
123076,10161225.780
91894,10130462.190
39741,10128387.520
111753,10119780.980
142729,10104748.890
116775,10097750.420
102589,10034784.360
186268,10012181.570
44545,10000286.480
23307,9966577.500
124281,9930018.900
69604,9925730.640
21971,9908982.030
58148,9895894.400
16532,9886529.900
159180,9883744.430
74733,9877582.880
35173,9858275.920
7116,9856881.020
124620,9838589.140
122108,9829949.350
67200,9828690.690
164775,9821424.440
9039,9816447.720
14912,9803102.200
190906,9791315.700
130398,9781674.270
119310,9776927.210
10132,9770930.780
107211,9757586.250
113958,9757065.500
37009,9748362.690
66746,9743528.760
134486,9731922.000
15945,9731096.450
55307,9717745.800
56362,9714922.830
57726,9711792.100
57256,9708621.000
112292,9701653.080
87514,9699492.530
174206,9680562.020
72865,9679043.340
114357,9671017.440
112807,9665019.210
115203,9661018.730
177454,9658906.350
161275,9634313.710
61893,9617095.440
122219,9604888.200
183427,9601362.580
59158,9599705.960
61931,9584918.980
5532,9579964.140
20158,9576714.380
167199,9557413.080
38869,9550279.530
86949,9541943.700
198544,9538613.920
193762,9538238.940
108807,9536247.160
168324,9535647.990
115588,9532195.040
141372,9529702.140
175120,9526068.660
163851,9522808.830
160954,9520359.450
117757,9517882.800
52594,9508325.760
60960,9498843.060
70272,9495775.620
44050,9495515.360
152213,9494756.960
121203,9492601.300
70114,9491012.300
167588,9484741.110
136455,9476241.780
4357,9464355.640
6786,9463632.570
61345,9455336.700
160826,9446754.840
71275,9440138.400
77746,9439118.350
91289,9437472.000
56723,9435102.160
86647,9434604.180
131234,9432120.000
198129,9427651.360
165530,9426193.680
69233,9425053.920
6243,9423304.660
90110,9420422.700
191980,9419368.360
38461,9419316.070
167873,9419024.490
159373,9416950.150
128707,9413428.500
45267,9410863.780
48460,9409793.930
197672,9406887.680
60884,9403442.400
15209,9403245.310
138049,9401262.100
199286,9391770.700
19629,9391236.400
134019,9390615.150
169475,9387639.580
165918,9379510.440
135602,9374251.540
162323,9367566.510
96277,9360850.680
98336,9359671.290
119781,9356395.730
34440,9355365.000
57362,9355180.100
167236,9352973.840
38463,9347530.940
86749,9346826.440
170007,9345699.900
193087,9343744.000
150383,9332576.750
60932,9329582.020
128420,9328206.350
162145,9327722.880
55686,9320304.400
163080,9304916.960
160583,9303515.920
118153,9298606.560
152634,9282184.570
84731,9276586.920
119989,9273814.200
114584,9269698.650
131817,9268570.080
29068,9256583.880
44116,9255922.000
115818,9253311.910
103388,9239218.080
186118,9236209.120
155809,9235410.840
147003,9234847.990
27769,9232511.640
112779,9231927.360
124851,9228982.680
158488,9227216.400
83328,9224792.200
136797,9222927.090
141730,9216370.680
87304,9215695.500
156004,9215557.900
140740,9215329.200
100648,9212185.080
174774,9211718.000
37644,9211578.600
48807,9209496.240
95940,9207948.400
141586,9206699.220
147248,9205654.950
61372,9205228.760
52970,9204415.950
26430,9203710.510
28504,9201669.200
25810,9198878.500
125329,9198688.500
167867,9194022.720
134767,9191444.720
127745,9191271.560
69208,9187110.000
155222,9186469.160
196916,9182995.820
195590,9176353.120
169155,9175176.090
81558,9171946.500
185136,9171293.040
114790,9168509.100
194142,9165836.610
167639,9161165.000
11241,9160789.460
82628,9160155.540
41399,9148338.000
30755,9146196.840
6944,9143574.580
6326,9138803.160
101296,9135657.620
181479,9121093.300
76898,9120983.100
64274,9118745.250
175826,9117387.990
142215,9116876.880
103415,9113128.620
119765,9110768.790
107624,9108837.450
84215,9105257.360
73774,9102651.920
173972,9102069.000
69817,9095513.880
86943,9092253.000
138859,9087719.300
162273,9085296.480
175945,9080401.210
16836,9075715.440
70224,9075265.950
139765,9074755.890
30319,9073233.100
3851,9072657.240
181271,9070631.520
162184,9068835.780
81683,9067258.470
153028,9067010.510
123324,9061870.950
186481,9058608.300
167680,9052908.760
165293,9050545.700
122148,9046298.170
138604,9045840.800
78851,9044822.600
137280,9042355.340
8823,9040855.100
163900,9040848.480
75600,9035392.450
81676,9031999.400
46033,9031460.580
194917,9028500.000
