C_NAME,C_CUSTKEY,O_ORDERKEY,O_TOTALPRICE,COL6,O_ORDERDATE
Customer#000128120,128120,4722021,544089.09,323.00,1994-04-07
Customer#000144617,144617,3043270,530604.44,317.00,1997-02-12
Customer#000013940,13940,2232932,522720.61,304.00,1997-04-13
Customer#000066790,66790,2199712,515531.82,327.00,1996-09-30
Customer#000046435,46435,4745607,508047.99,309.00,1997-07-03
Customer#000015272,15272,3883783,500241.33,302.00,1993-07-28
Customer#000146608,146608,3342468,499794.58,303.00,1994-06-12
Customer#000096103,96103,5984582,494398.79,312.00,1992-03-16
Customer#000024341,24341,1474818,491348.26,302.00,1992-11-15
Customer#000137446,137446,5489475,487763.25,311.00,1997-05-23
Customer#000107590,107590,4267751,485141.38,301.00,1994-11-04
Customer#000050008,50008,2366755,483891.26,302.00,1996-12-09
Customer#000015619,15619,3767271,480083.96,318.00,1996-08-07
Customer#000077260,77260,1436544,479499.43,307.00,1992-09-12
Customer#000109379,109379,5746311,478064.11,302.00,1996-10-10
Customer#000054602,54602,5832321,471220.08,307.00,1997-02-09
Customer#000105995,105995,2096705,469692.58,307.00,1994-07-03
Customer#000148885,148885,2942469,469630.44,313.00,1992-05-31
Customer#000114586,114586,551136,469605.59,308.00,1993-05-19
Customer#000105260,105260,5296167,469360.57,303.00,1996-09-06
Customer#000147197,147197,1263015,467149.67,320.00,1997-02-02
Customer#000064483,64483,2745894,466991.35,304.00,1996-07-04
Customer#000136573,136573,2761378,461282.73,301.00,1996-05-31
Customer#000016384,16384,502886,458378.92,312.00,1994-04-12
Customer#000117919,117919,2869152,456815.92,317.00,1996-06-20
Customer#000012251,12251,735366,455107.26,309.00,1993-11-24
Customer#000120098,120098,1971680,453451.23,308.00,1995-06-14
Customer#000066098,66098,5007490,453436.16,304.00,1992-08-07
Customer#000117076,117076,4290656,449545.85,301.00,1997-02-05
Customer#000129379,129379,4720454,448665.79,303.00,1997-06-07
Customer#000126865,126865,4702759,447606.65,320.00,1994-11-07
Customer#000088876,88876,983201,446717.46,304.00,1993-12-30
Customer#000036619,36619,4806726,446704.09,328.00,1995-01-17
Customer#000141823,141823,2806245,446269.12,310.00,1996-12-29
Customer#000053029,53029,2662214,446144.49,302.00,1993-08-13
Customer#000018188,18188,3037414,443807.22,308.00,1995-01-25
Customer#000066533,66533,29158,443576.50,305.00,1995-10-21
Customer#000037729,37729,4134341,441082.97,309.00,1995-06-29
Customer#000003566,3566,2329187,439803.36,304.00,1998-01-04
Customer#000045538,45538,4527553,436275.31,305.00,1994-05-22
Customer#000081581,81581,4739650,435405.90,305.00,1995-11-04
Customer#000119989,119989,1544643,434568.25,320.00,1997-09-20
Customer#000003680,3680,3861123,433525.97,301.00,1998-07-03
Customer#000113131,113131,967334,432957.75,301.00,1995-12-15
Customer#000141098,141098,565574,430986.69,301.00,1995-09-24
Customer#000093392,93392,5200102,425487.51,304.00,1997-01-22
Customer#000015631,15631,1845057,419879.59,302.00,1994-05-12
Customer#000112987,112987,4439686,418161.49,305.00,1996-09-17
Customer#000012599,12599,4259524,415200.61,304.00,1998-02-12
Customer#000105410,105410,4478371,412754.51,302.00,1996-03-05
Customer#000149842,149842,5156581,411329.35,302.00,1994-05-30
Customer#000010129,10129,5849444,409129.85,309.00,1994-03-21
Customer#000069904,69904,1742403,408513.00,305.00,1996-10-19
Customer#000017746,17746,6882,408446.93,303.00,1997-04-09
Customer#000013072,13072,1481925,399195.47,301.00,1998-03-15
Customer#000082441,82441,857959,382579.74,305.00,1994-02-07
Customer#000088703,88703,2995076,363812.12,302.00,1994-01-30
