S_ACCTBAL,S_NAME,N_NAME,P_PARTKEY,S_ADDRESS,S_PHONE,S_COMMENT,P_MFGR
9938.53,Supplier#000005359,UNITED KINGDOM,185358,"QKuHYh,vZGiwu2FWEJoLDx04",33-429-790-6131,uriously regular requests hag,Manufacturer#4
9937.84,Supplier#000005969,ROMANIA,108438,"ANDENSOSmk,miq23Xfb5RWt6dvUcvt6Qa",29-520-692-3537,efully express instructions. regular requests against the slyly fin,Manufacturer#1
9936.22,Supplier#000005250,UNITED KINGDOM,249,B3rqp0xbSEim4Mpy2RH J,33-320-228-2957,etect about the furiously final accounts. slyly ironic pinto beans sleep inside the furiously,Manufacturer#4
9923.77,Supplier#000002324,GERMANY,29821,y3OD9UywSTOk,17-779-299-1839,ackages boost blithely. blithely regular deposits c,Manufacturer#4
9871.22,Supplier#000006373,GERMANY,43868,J8fcXWsTqM,17-813-485-8637,etect blithely bold asymptotes. fluffily ironic platelets wake furiously; blit,Manufacturer#5
9870.78,Supplier#000001286,GERMANY,81285,"YKA,E2fjiVd7eUrzp2Ef8j1QxGo2DFnosaTEH",17-516-924-4574, regular accounts. furiously unusual courts above the fi,Manufacturer#2
9870.78,Supplier#000001286,GERMANY,181285,"YKA,E2fjiVd7eUrzp2Ef8j1QxGo2DFnosaTEH",17-516-924-4574, regular accounts. furiously unusual courts above the fi,Manufacturer#4
9852.52,Supplier#000008973,RUSSIA,18972,"t5L67YdBYYH6o,Vz24jpDyQ9",32-188-594-7038,rns wake final foxes. carefully unusual depende,Manufacturer#2
9847.83,Supplier#000008097,RUSSIA,130557,xMe97bpE69NzdwLoX,32-375-640-3593, the special excuses. silent sentiments serve carefully final ac,Manufacturer#2
9847.57,Supplier#000006345,FRANCE,86344,VSt3rzk3qG698u6ld8HhOByvrTcSTSvQlDQDag,16-886-766-7945,"ges. slyly regular requests are. ruthless, express excuses cajole blithely across the unu",Manufacturer#1
9847.57,Supplier#000006345,FRANCE,173827,VSt3rzk3qG698u6ld8HhOByvrTcSTSvQlDQDag,16-886-766-7945,"ges. slyly regular requests are. ruthless, express excuses cajole blithely across the unu",Manufacturer#2
9836.93,Supplier#000007342,RUSSIA,4841,"JOlK7C1,7xrEZSSOw",32-399-414-5385,blithely carefully bold theodolites. fur,Manufacturer#4
9817.10,Supplier#000002352,RUSSIA,124815,4LfoHUZjgjEbAKw TgdKcgOc4D4uCYw,32-551-831-1437,wake carefully alongside of the carefully final ex,Manufacturer#2
9817.10,Supplier#000002352,RUSSIA,152351,4LfoHUZjgjEbAKw TgdKcgOc4D4uCYw,32-551-831-1437,wake carefully alongside of the carefully final ex,Manufacturer#3
9739.86,Supplier#000003384,FRANCE,138357,"o,Z3v4POifevE k9U1b 6J1ucX,I",16-494-913-5925,s after the furiously bold packages sleep fluffily idly final requests: quickly final,Manufacturer#2
9721.95,Supplier#000008757,UNITED KINGDOM,156241,Atg6GnM4dT2,33-821-407-2995,eep furiously sauternes; quickl,Manufacturer#3
9681.33,Supplier#000008406,RUSSIA,78405,",qUuXcftUl",32-139-873-8571,haggle slyly regular excuses. quic,Manufacturer#1
9643.55,Supplier#000005148,ROMANIA,107617,kT4ciVFslx9z4s79p Js825,29-252-617-4850,final excuses. final ideas boost quickly furiously speci,Manufacturer#1
9624.82,Supplier#000001816,FRANCE,34306,e7vab91vLJPWxxZnewmnDBpDmxYHrb,16-392-237-6726,"e packages are around the special ideas. special, pending foxes us",Manufacturer#3
9624.78,Supplier#000009658,ROMANIA,189657,"oE9uBgEfSS4opIcepXyAYM,x",29-748-876-2014,ronic asymptotes wake bravely final,Manufacturer#1
9612.94,Supplier#000003228,ROMANIA,120715,"KDdpNKN3cWu7ZSrbdqp7AfSLxx,qWB",29-325-784-8187,warhorses. quickly even deposits sublate daringly ironic instructions. slyly blithe t,Manufacturer#2
9612.94,Supplier#000003228,ROMANIA,198189,"KDdpNKN3cWu7ZSrbdqp7AfSLxx,qWB",29-325-784-8187,warhorses. quickly even deposits sublate daringly ironic instructions. slyly blithe t,Manufacturer#4
9571.83,Supplier#000004305,ROMANIA,179270,qNHZ7WmCzygwMPRDO9Ps,29-973-481-1831,kly carefully express asymptotes. furiou,Manufacturer#2
9558.10,Supplier#000003532,UNITED KINGDOM,88515,EOeuiiOn21OVpTlGguufFDFsbN1p0lhpxHp,33-152-301-2164, foxes. quickly even excuses use. slyly special foxes nag bl,Manufacturer#4
9492.79,Supplier#000005975,GERMANY,25974,S6mIiCTx82z7lV,17-992-579-4839,arefully pending accounts. blithely regular excuses boost carefully carefully ironic p,Manufacturer#5
9461.05,Supplier#000002536,UNITED KINGDOM,20033,8mmGbyzaU 7ZS2wJumTibypncu9pNkDc4FYA,33-556-973-5522,. slyly regular deposits wake slyly. furiously regular warthogs are.,Manufacturer#1
9453.01,Supplier#000000802,ROMANIA,175767,",6HYXb4uaHITmtMBj4Ak57Pd",29-342-882-6463,gular frets. permanently special multipliers believe blithely alongs,Manufacturer#1
9408.65,Supplier#000007772,UNITED KINGDOM,117771,"AiC5YAH,gdu0i7",33-152-491-1126,nag against the final requests. furiously unusual packages cajole blit,Manufacturer#4
9359.61,Supplier#000004856,ROMANIA,62349,HYogcF3Jb yh1,29-334-870-9731,y ironic theodolites. blithely sile,Manufacturer#5
9357.45,Supplier#000006188,UNITED KINGDOM,138648,"g801,ssP8wpTk4Hm",33-583-607-1633,ously always regular packages. fluffily even accounts beneath the furiously final pack,Manufacturer#1
9352.04,Supplier#000003439,GERMANY,170921,qYPDgoiBGhCYxjgC,17-128-996-4650, according to the carefully bold ideas,Manufacturer#4
9312.97,Supplier#000007807,RUSSIA,90279,oGYMPCk9XHGB2PBfKRnHA,32-673-872-5854,"ecial packages among the pending, even requests use regula",Manufacturer#5
9312.97,Supplier#000007807,RUSSIA,100276,oGYMPCk9XHGB2PBfKRnHA,32-673-872-5854,"ecial packages among the pending, even requests use regula",Manufacturer#5
9280.27,Supplier#000007194,ROMANIA,47193,zhRUQkBSrFYxIAXTfInj vyGRQjeK,29-318-454-2133,o beans haggle after the furiously unusual deposits. carefully silent dolphins cajole carefully,Manufacturer#3
9274.80,Supplier#000008854,RUSSIA,76346,1xhLoOUM7I3mZ1mKnerw OSqdbb4QbGa,32-524-148-5221,y. courts do wake slyly. carefully ironic platelets haggle above the slyly regular the,Manufacturer#3
9249.35,Supplier#000003973,FRANCE,26466,"d18GiDsL6Wm2IsGXM,RZf1jCsgZAOjNYVThTRP4",16-722-866-1658,"uests are furiously. regular tithes through the regular, final accounts cajole furiously above the q",Manufacturer#1
9249.35,Supplier#000003973,FRANCE,33972,"d18GiDsL6Wm2IsGXM,RZf1jCsgZAOjNYVThTRP4",16-722-866-1658,"uests are furiously. regular tithes through the regular, final accounts cajole furiously above the q",Manufacturer#1
9208.70,Supplier#000007769,ROMANIA,40256,rsimdze 5o9P Ht7xS,29-964-424-9649,lites was quickly above the furiously ironic requests. slyly even foxes against the blithely bold ,Manufacturer#5
9201.47,Supplier#000009690,UNITED KINGDOM,67183,CB BnUTlmi5zdeEl7R7,33-121-267-9529,"e even, even foxes. blithely ironic packages cajole regular packages. slyly final ide",Manufacturer#5
9192.10,Supplier#000000115,UNITED KINGDOM,85098,"nJ 2t0f7Ve,wL1,6WzGBJLNBUCKlsV",33-597-248-1220,es across the carefully express accounts boost caref,Manufacturer#3
9189.98,Supplier#000001226,GERMANY,21225,qsLCqSvLyZfuXIpjz,17-725-903-1381, deposits. blithely bold excuses about the slyly bold forges wake ,Manufacturer#4
9128.97,Supplier#000004311,RUSSIA,146768,I8IjnXd7NSJRs594RxsRR0,32-155-440-7120,refully. blithely unusual asymptotes haggle ,Manufacturer#5
9104.83,Supplier#000008520,GERMANY,150974,"RqRVDgD0ER J9 b41vR2,3",17-728-804-1793,ly about the blithely ironic depths. slyly final theodolites among the fluffily bold ideas print,Manufacturer#4
9101.00,Supplier#000005791,ROMANIA,128254,"zub2zCV,jhHPPQqi,P2INAjE1zI n66cOEoXFG",29-549-251-5384,ts. notornis detect blithely above the carefully bold requests. blithely even package,Manufacturer#5
9094.57,Supplier#000004582,RUSSIA,39575,"WB0XkCSG3r,mnQ n,h9VIxjjr9ARHFvKgMDf",32-587-577-1351,jole. regular accounts sleep blithely frets. final pinto beans play furiously past the ,Manufacturer#1
8996.87,Supplier#000004702,FRANCE,102191,8XVcQK23akp,16-811-269-8946,ickly final packages along the express plat,Manufacturer#5
