Test Name,Result,Comment
,,
q01 Comparison check,OK,
q02 Comparison check,OK,
q03 Comparison check,OK,
q04 Comparison check,OK,
q05 Comparison check,OK,
q06 Comparison check,OK,
q07 Comparison check,OK,
q08 Comparison check,OK,
q09 Comparison check,OK,
q10 Comparison check,OK,
q11 Comparison check,OK,
q12 Comparison check,OK,
q13 Comparison check,OK,
q14 Comparison check,OK,
q15 Comparison check,OK,
q16 Comparison check,OK,
q17 Comparison check,OK,
q18 Comparison check,OK,
q19 Comparison check,OK,
q20 Comparison check,OK,
q21 Comparison check,OK,
q22 Comparison check,OK,
